sku,product_slug,product_name,category,match_type,match_confidence,formal_verification_status,candidate_field_count,candidate_only_field_count,conflict_field_count,unresolved_tbd_count,internal_status,source_urls,notes,construction,material,material_grade,wire_rope_diameter_min_mm,wire_rope_diameter_max_mm,coating_material,coating_color,finished_diameter_min_mm,finished_diameter_max_mm,length_min_mm,length_max_mm,length_tolerance,core,lay_direction,surface_finish,end_a_type,end_a_thread,end_a_dimensions,end_b_type,end_b_thread,end_b_dimensions,breaking_load,working_load,load_unit,applicable_standard,moq,sample_lead_time,production_lead_time,packaging,customization_options,drawing_file,datasheet_file,retracted_length_mm,extended_length_mm,upper_fitting,lower_fitting,gripper_type,inner_cable,outer_casing,stroke_mm,compatible_wire_rope_diameter_min_mm,compatible_wire_rope_diameter_max_mm
GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,strong,high,incomplete,8,0,0,27,manual-review-only,https://www.wireropeassy.com/suspension-hanging-kit/standard-hanger-wire-hanging-kit-suspension.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Stainless Steel,TBD,1,2,TBD,TBD,TBD,TBD,1000,8000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Cable Diameter;Ceiling Accessory;Cable Gripper;Snap Hook;Eyelet,TBD,TBD,N/A,N/A,TBD,TBD,Adjustable Cable Gripper,N/A,N/A,N/A,N/A,N/A
GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,suspension-hanging-kits,exact,high,incomplete,5,0,0,30,manual-review-only,https://www.wireropeassy.com/suspension-hanging-kit/adjustable-cable-gripper-hanging-wire.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Galvanized Steel;Stainless Steel,TBD,TBD,TBD,TBD,Silver;Custom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Material;Dimensions;Color;Cable Gripper,TBD,TBD,N/A,N/A,TBD,TBD,Adjustable Cable Gripper,N/A,N/A,N/A,N/A,N/A
GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,exact,high,incomplete,10,0,0,25,manual-review-only,https://www.wireropeassy.com/suspension-hanging-kit/y-leg-hanging-kit-for-led-panel-lights.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Stainless Steel,TBD,1,2,TBD,TBD,TBD,TBD,1000,3000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Cable Diameter;Ceiling Accessory;Cable Gripper;Snap Hook;Eyelet,TBD,TBD,N/A,N/A,Ceiling Retainer,Y-shaped Clamp,Adjustable Cable Gripper,N/A,N/A,N/A,N/A,N/A
GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,strong,medium,incomplete,6,0,0,29,manual-review-only,https://m.wireropeassy.com/wire-rope-assembly/steel-wire-rope/supply-pvc-coated-galvanized-customized.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",7x7,Stainless Steel,AISI 304,TBD,TBD,TBD,TBD,TBD,TBD,1000,2000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Length;Cable Loop;Nipple Ball End;Cable Gripper;Ceiling Attachment;Screw,TBD,TBD,N/A,N/A,TBD,TBD,TBD,N/A,N/A,N/A,N/A,N/A
GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,exact,high,incomplete,9,5,5,26,manual-review-only,https://www.wireropeassy.com/brake-cable/black-bowden-cable-with-inner-cable.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",CONFLICT: 1x7;7x7;7x19 || 1x7;7x7;1x19;7x19,Galvanized Steel,TBD,CONFLICT: 1.6 || 1,TBD,TBD,TBD,TBD,TBD,CANDIDATE: 552,CANDIDATE: 2000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,1000 pcs,TBD,TBD,TBD,Inner Cable Diameter;Construction;Outer Casing;End Accessories;Length,TBD,TBD,N/A,N/A,N/A,N/A,N/A,Galvanized Steel Inner Wire,CANDIDATE: HDPE;PP;POM,TBD,N/A,N/A
GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,exact,high,incomplete,9,5,5,26,manual-review-only,https://www.wireropeassy.com/brake-cable/black-bowden-cable-with-inner-cable.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",CONFLICT: 1x7;7x7;7x19 || 1x7;7x7;1x19;7x19,Galvanized Steel,TBD,CONFLICT: 1.6 || 1,TBD,TBD,TBD,TBD,TBD,CANDIDATE: 552,CANDIDATE: 2000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,1000 pcs,TBD,TBD,TBD,Inner Cable Diameter;Construction;Outer Casing;End Accessories;Length,TBD,TBD,N/A,N/A,N/A,N/A,N/A,Galvanized Steel Inner Wire,CANDIDATE: HDPE;PP;POM,TBD,N/A,N/A
GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,partial,low,unverified,5,5,5,30,manual-review-only,https://www.wireropeassy.com/control-cable/wire-rope-assemblies-brake-custom-cable.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,TBD,TBD,CANDIDATE: 1,CANDIDATE: 1.5,CANDIDATE: PE;PVC;PA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CANDIDATE: Male Screw;Female Screw;Custom Nipple,TBD,TBD,N/A,N/A,N/A,N/A,N/A,TBD,CANDIDATE: PE;PVC;PA,TBD,N/A,N/A
GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,strong,high,incomplete,3,0,0,32,manual-review-only,https://www.wireropeassy.com/control-cable/factory-direct-oem-scooter-bike-motorcycle.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Stainless Steel,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Universal Threaded Cable Ends;Terminals;Conduit Fittings,TBD,TBD,N/A,N/A,N/A,N/A,N/A,Stainless Steel Lubri-Core Wire,TBD,TBD,N/A,N/A
GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,gym-fitness-cables,exact,high,incomplete,6,0,0,26,manual-review-only,https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Stainless Steel,AISI 304;AISI 316,TBD,TBD,TBD,Black;Red;Blue;Custom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,1000 pcs,TBD,15 days,TBD,Loop End;Weight Stack Bolt;Marine Eye;Ball Stopper;Color;Shape,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-GYM-002,weight-stack-cable-assembly,Weight Stack Cable Assembly,gym-fitness-cables,exact,high,incomplete,10,0,0,22,manual-review-only,https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Stainless Steel,AISI 304;AISI 316,TBD,TBD,TBD,Black;Red;Blue;Custom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Loop End,TBD,TBD,Weight Stack Bolt with Shank Ball End,1/2-13;3/8-13,Bolt length 1.25 in,TBD,TBD,TBD,TBD,1000 pcs,TBD,15 days,TBD,Thread Size;Loop End;Weight Stack Bolt;Color;Shape,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-GYM-003,pvc-coated-gym-cable,PVC Coated Gym Cable,gym-fitness-cables,strong,medium,incomplete,12,1,1,20,manual-review-only,https://www.wireropeassy.com/wire-rope-sling/stainless-fall-prevention-wire-rope-sling.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",7x19,Galvanized Steel,TBD,2,2,CONFLICT: Vinyl || Nylon,TBD,TBD,TBD,2057.4,2057.4,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,3-10 days,15-25 days,Standard export carton;According to customer requirement,Length;Eyelet Snap Hook;Nylon Ball,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-GYM-004,fitness-cable-with-ball-end,Fitness Cable with Ball End,gym-fitness-cables,strong,high,incomplete,8,0,0,24,manual-review-only,https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Stainless Steel,AISI 304;AISI 316,TBD,TBD,TBD,Black;Red;Blue;Custom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ball Stopper,TBD,1.25 in OD;1.75 in OD,TBD,TBD,TBD,TBD,1000 pcs,TBD,15 days,TBD,Ball Stopper Size;Loop End;Marine Eye;Color;Shape,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-FIT-001,wire-rope-thimble,Wire Rope Thimble,wire-rope-fittings,exact,high,incomplete,9,3,3,10,manual-review-only,https://www.wireropeassy.com/hardware-fittings/din-3091-wire-rope-thimble.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",N/A,CONFLICT: Aluminum;Copper || Stainless Steel,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CONFLICT: Zinc Plated || Highly Polished,TBD,TBD,TBD,N/A,N/A,N/A,TBD,TBD,TBD,DIN 3091,1000 pcs,TBD,CONFLICT: 7 days when required materials are in stock || 15 days,According to customer requirement,Compatible Cable Size;Dimensions;Finish;Packaging,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,10
GS-FIT-002,wire-rope-sleeve,Wire Rope Sleeve,wire-rope-fittings,partial,low,unverified,1,1,0,18,manual-review-only,https://www.wireropeassy.com/showroom/wire-rope-aluminium-sleeve/,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",N/A,CANDIDATE: Aluminum,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,TBD,TBD,TBD,N/A,N/A,N/A,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,TBD
GS-FIT-003,swage-terminal,Swage Terminal,wire-rope-fittings,none,low,unverified,1,1,1,18,manual-review-only,https://www.wireropeassy.com/showroom/top-quality-wire-rope-sling/,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",N/A,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,CANDIDATE: Swage Terminal,TBD,TBD,N/A,N/A,N/A,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,TBD
GS-FIT-004,cable-gripper,Cable Gripper,wire-rope-fittings,exact,high,incomplete,6,0,0,13,manual-review-only,https://www.wireropeassy.com/suspension-hanging-kit/aircraft-cable-gripper-fitting.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",N/A,Copper,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chrome Plated;Nickel Plated,TBD,TBD,TBD,N/A,N/A,N/A,TBD,TBD,TBD,TBD,TBD,TBD,7 days after receipt of 30% deposit,TBD,Product Dimensions;Cable Diameter;Surface Finish,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1.5
