sku,product_slug,product_name,category,source_folder,target_folder,main_image,gallery_images,main_alt,gallery_alt,status,notes
GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/,/images/products/lighting-suspension-cable-kit/,/images/products/lighting-suspension-cable-kit/main.webp,,Lighting Suspension Cable Kit,,published,Formal WebP files generated; page and build validation passed.
GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/adjustable-cable-gripper-kit/,/images/products/adjustable-cable-gripper-kit/,/images/products/adjustable-cable-gripper-kit/main.webp,,Adjustable Cable Gripper Kit,,published,Formal WebP files generated; page and build validation passed.
GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/,/images/products/led-panel-suspension-kit/,/images/products/led-panel-suspension-kit/main.webp,,LED Panel Suspension Kit,,published,Formal WebP files generated; page and build validation passed.
GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/,/images/products/sign-hanging-cable-kit/,/images/products/sign-hanging-cable-kit/main.webp,/images/products/sign-hanging-cable-kit/detail-02.webp|/images/products/sign-hanging-cable-kit/detail-03.webp|/images/products/sign-hanging-cable-kit/detail-04.webp,Sign Hanging Cable Kit,Close-up of Sign Hanging Cable Kit|Close-up of Sign Hanging Cable Kit|Close-up of Sign Hanging Cable Kit,published,Formal WebP files generated; page and build validation passed.
GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,image-import/control-brake-cables/bowden-cable-assembly/,/images/products/bowden-cable-assembly/,/images/products/bowden-cable-assembly/main.webp,/images/products/bowden-cable-assembly/construction-01.webp|/images/products/bowden-cable-assembly/construction-02.webp|/images/products/bowden-cable-assembly/construction-03.webp,Bowden Cable Assembly,Construction detail of Bowden Cable Assembly|Construction detail of Bowden Cable Assembly|Construction detail of Bowden Cable Assembly,published,Formal WebP files generated; page and build validation passed.
GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,image-import/control-brake-cables/push-pull-control-cable/,/images/products/push-pull-control-cable/,/images/products/push-pull-control-cable/main.webp,,Push Pull Control Cable,,published,Formal WebP files generated; page and build validation passed.
GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,image-import/control-brake-cables/brake-cable-assembly/,/images/products/brake-cable-assembly/,/images/products/brake-cable-assembly/main.webp,/images/products/brake-cable-assembly/construction-02.webp|/images/products/brake-cable-assembly/construction-03.webp|/images/products/brake-cable-assembly/construction-04.webp|/images/products/brake-cable-assembly/construction-05.webp,Brake Cable Assembly,Construction detail of Brake Cable Assembly|Construction detail of Brake Cable Assembly|Construction detail of Brake Cable Assembly|Construction detail of Brake Cable Assembly,published,Formal WebP files generated; page and build validation passed.
GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,image-import/control-brake-cables/throttle-control-cable/,/images/products/throttle-control-cable/,/images/products/throttle-control-cable/main.webp,,Throttle Control Cable,,published,Formal WebP files generated; page and build validation passed.
GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,gym-fitness-cables,image-import/gym-fitness-cables/gym-equipment-cable-assembly/,/images/products/gym-equipment-cable-assembly/,/images/products/gym-equipment-cable-assembly/main.webp,/images/products/gym-equipment-cable-assembly/detail-01.webp|/images/products/gym-equipment-cable-assembly/detail-03.webp|/images/products/gym-equipment-cable-assembly/detail-04.webp|/images/products/gym-equipment-cable-assembly/detail-05.webp,Gym Equipment Cable Assembly,Close-up of Gym Equipment Cable Assembly|Close-up of Gym Equipment Cable Assembly|Close-up of Gym Equipment Cable Assembly|Close-up of Gym Equipment Cable Assembly,published,Formal WebP files generated; page and build validation passed.
GS-GYM-002,weight-stack-cable-assembly,Weight Stack Cable Assembly,gym-fitness-cables,image-import/gym-fitness-cables/weight-stack-cable-assembly/,/images/products/weight-stack-cable-assembly/,/images/products/weight-stack-cable-assembly/main.webp,,Weight Stack Cable Assembly,,published,Formal WebP files generated; page and build validation passed.
GS-GYM-003,pvc-coated-gym-cable,PVC Coated Gym Cable,gym-fitness-cables,image-import/gym-fitness-cables/pvc-coated-gym-cable/,/images/products/pvc-coated-gym-cable/,/images/products/pvc-coated-gym-cable/main.webp,/images/products/pvc-coated-gym-cable/application-02.webp|/images/products/pvc-coated-gym-cable/application-03.webp|/images/products/pvc-coated-gym-cable/application-04.webp|/images/products/pvc-coated-gym-cable/application-05.webp|/images/products/pvc-coated-gym-cable/application-06.webp,PVC Coated Gym Cable,PVC Coated Gym Cable application view|PVC Coated Gym Cable application view|PVC Coated Gym Cable application view|PVC Coated Gym Cable application view|PVC Coated Gym Cable application view,published,Formal WebP files generated; page and build validation passed.
GS-GYM-004,fitness-cable-with-ball-end,Fitness Cable with Ball End,gym-fitness-cables,image-import/gym-fitness-cables/fitness-cable-with-ball-end/,/images/products/fitness-cable-with-ball-end/,/images/products/fitness-cable-with-ball-end/main.webp,,Fitness Cable with Ball End,,published,Formal WebP files generated; page and build validation passed.
GS-FIT-001,wire-rope-thimble,Wire Rope Thimble,wire-rope-fittings,image-import/wire-rope-fittings/wire-rope-thimble/,/images/products/wire-rope-thimble/,/images/products/wire-rope-thimble/main.webp,/images/products/wire-rope-thimble/detail-02.webp|/images/products/wire-rope-thimble/detail-03.webp|/images/products/wire-rope-thimble/detail-04.webp,Wire Rope Thimble,Close-up of Wire Rope Thimble|Close-up of Wire Rope Thimble|Close-up of Wire Rope Thimble,published,Formal WebP files generated; page and build validation passed.
GS-FIT-002,wire-rope-sleeve,Wire Rope Sleeve,wire-rope-fittings,image-import/wire-rope-fittings/wire-rope-sleeve/,/images/products/wire-rope-sleeve/,/images/products/wire-rope-sleeve/main.webp,/images/products/wire-rope-sleeve/detail-02.webp|/images/products/wire-rope-sleeve/detail-03.webp,Wire Rope Sleeve,Close-up of Wire Rope Sleeve|Close-up of Wire Rope Sleeve,published,Formal WebP files generated; page and build validation passed.
GS-FIT-003,swage-terminal,Swage Terminal,wire-rope-fittings,image-import/wire-rope-fittings/swage-terminal/,/images/products/swage-terminal/,/images/products/swage-terminal/main.webp,,Swage Terminal,,published,Formal WebP files generated; page and build validation passed.
GS-FIT-004,cable-gripper,Cable Gripper,wire-rope-fittings,image-import/wire-rope-fittings/cable-gripper/,/images/products/cable-gripper/,/images/products/cable-gripper/main.webp,,Cable Gripper,,published,Formal WebP files generated; page and build validation passed.
