sku,slug,product_name,short_description,category,construction,diameter_min_mm,diameter_max_mm,material,grade,finish,core,coating,lay,tensile_grade,breaking_load,tolerance,length_options,packaging,applications,customization,standards,certifications,moq,lead_time,image,gallery,datasheet,featured,status,seo_title,seo_description,verification_status,publishable,source_domain,source_url,migration_notes,product_type,end_fitting,features
GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,"Lighting Suspension Cable Kit for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",suspension-hanging-kits,,,,stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,architectural|industrial-assemblies,cable length|gripper type|ceiling fitting|panel fitting|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,true,published,Lighting Suspension Cable Kit | Custom Cable Assembly | Gaoshuo,"Source configurable lighting suspension cable kit from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,suspension cable kit,cable gripper|loop|ceiling fitting,adjustable suspension concept|kit-based sourcing|fitting selection|drawing-based configuration
GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,"Adjustable Cable Gripper Kit for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",suspension-hanging-kits,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,architectural|industrial-assemblies,gripper style|cable length|thread type|mounting fitting|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Adjustable Cable Gripper Kit | Custom Cable Assembly | Gaoshuo,"Source configurable adjustable cable gripper kit from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,cable gripper kit,cable gripper,adjustable gripper option|matched cable supply|thread and fitting review|kit packaging
GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,"LED Panel Suspension Kit for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",suspension-hanging-kits,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,architectural,kit length|panel attachment|ceiling attachment|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,LED Panel Suspension Kit | Custom Cable Assembly | Gaoshuo,"Source configurable led panel suspension kit from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,suspension cable kit,panel fitting|cable gripper,panel hanging configuration|adjustable cable option|matched fittings|project packaging review
GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,"Sign Hanging Cable Kit for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",suspension-hanging-kits,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,architectural|industrial-assemblies,cable length|end fitting|finish|kit packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Sign Hanging Cable Kit | Custom Cable Assembly | Gaoshuo,"Source configurable sign hanging cable kit from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,sign hanging kit,hook|loop|gripper,sign suspension use|custom attachment options|coated or uncoated cable|bulk kit preparation
GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,"Bowden Cable Assembly for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",control-brake-cables,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,control-cables|industrial-assemblies,outer conduit|inner cable|stroke length|terminal type|sample matching,,,,,/images/placeholders/wire-rope-placeholder.svg,,,true,published,Bowden Cable Assembly | Custom Cable Assembly | Gaoshuo,"Source configurable bowden cable assembly from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,control cable assembly,threaded terminal|barrel end|custom terminal,control cable format|inner and outer cable review|terminal matching|sample-based production
GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,"Push Pull Control Cable for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",control-brake-cables,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,control-cables|industrial-assemblies,travel length|conduit length|terminal type|mounting hardware,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Push Pull Control Cable | Custom Cable Assembly | Gaoshuo,"Source configurable push pull control cable from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,push pull cable,threaded terminal|eye terminal,push-pull actuation use|custom travel review|terminal configuration|drawing-based quotation
GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,"Brake Cable Assembly for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",control-brake-cables,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,control-cables|industrial-assemblies,inner cable length|housing length|terminal type|coating|sample matching,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Brake Cable Assembly | Custom Cable Assembly | Gaoshuo,"Source configurable brake cable assembly from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,brake cable assembly,barrel end|threaded terminal|custom terminal,brake cable configuration|custom housing length|terminal matching|application review
GS-CTL-004,throttle-control-cable,Throttle Control Cable,"Throttle Control Cable for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",control-brake-cables,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,control-cables|industrial-assemblies,travel length|outer casing|inner cable|terminal type,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Throttle Control Cable | Custom Cable Assembly | Gaoshuo,"Source configurable throttle control cable from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,throttle cable assembly,threaded terminal|barrel end,throttle control use|custom travel and length|fitting selection|drawing or sample review
GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,"Gym Equipment Cable Assembly for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",gym-fitness-cables,,,,steel|stainless steel,,,,PVC|nylon,,,,,Available on request,Please confirm packaging requirements with our team,fitness-equipment,machine model sample|cable length|coating|terminal type|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,true,published,Gym Equipment Cable Assembly | Custom Cable Assembly | Gaoshuo,"Source configurable gym equipment cable assembly from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,gym cable assembly,ball end|threaded terminal|eye terminal,fitness machine cable use|coated cable option|terminal matching|sample-based replacement support
GS-GYM-002,weight-stack-cable-assembly,Weight Stack Cable Assembly,"Weight Stack Cable Assembly for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",gym-fitness-cables,,,,steel|stainless steel|galvanized steel,,,,PVC|nylon,,,,,Available on request,Please confirm packaging requirements with our team,fitness-equipment,overall length|terminal dimensions|coating color|sample matching,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Weight Stack Cable Assembly | Custom Cable Assembly | Gaoshuo,"Source configurable weight stack cable assembly from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,gym cable assembly,ball end|threaded terminal,weight stack machine use|custom end terminal|coated cable option|sample-based quotation
GS-GYM-003,pvc-coated-gym-cable,PVC Coated Gym Cable,"PVC Coated Gym Cable for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",gym-fitness-cables,,,,steel|stainless steel|galvanized steel,,,,PVC,,,,,Available on request,Please confirm packaging requirements with our team,fitness-equipment,coating color|cable length|terminal type|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,PVC Coated Gym Cable | Custom Cable Assembly | Gaoshuo,"Source configurable pvc coated gym cable from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,coated gym cable,ball end|threaded terminal|custom fitting,PVC coated cable|fitness equipment application|custom terminal support|bulk replacement sourcing
GS-GYM-004,fitness-cable-with-ball-end,Fitness Cable with Ball End,"Fitness Cable with Ball End for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",gym-fitness-cables,,,,steel|stainless steel|galvanized steel,,,,PVC|nylon,,,,,Available on request,Please confirm packaging requirements with our team,fitness-equipment,ball end size|cable length|coating|opposite terminal,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Fitness Cable with Ball End | Custom Cable Assembly | Gaoshuo,"Source configurable fitness cable with ball end from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,gym cable assembly,ball end,ball end terminal|coated cable option|machine sample matching|drawing review
GS-FIT-001,wire-rope-thimble,Wire Rope Thimble,"Wire Rope Thimble for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-fittings,,,,stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,industrial-assemblies|marine,material|size|finish|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Wire Rope Thimble | Custom Cable Assembly | Gaoshuo,"Source configurable wire rope thimble from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,wire rope fitting,thimble,loop protection fitting|matched with wire rope assemblies|material selection|bulk packaging review
GS-FIT-002,wire-rope-sleeve,Wire Rope Sleeve,"Wire Rope Sleeve for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-fittings,,,,aluminum|copper|stainless steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,industrial-assemblies|security-cables,material|size|finish|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Wire Rope Sleeve | Custom Cable Assembly | Gaoshuo,"Source configurable wire rope sleeve from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,wire rope fitting,sleeve,crimp sleeve option|matched cable diameter review|material selection|assembly support
GS-FIT-003,swage-terminal,Swage Terminal,"Swage Terminal for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-fittings,,,,stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,architectural|industrial-assemblies,terminal style|thread type|material|finish,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Swage Terminal | Custom Cable Assembly | Gaoshuo,"Source configurable swage terminal from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,wire rope terminal,swage terminal,swaged end fitting|thread and geometry options|material selection|drawing-based confirmation
GS-FIT-004,cable-gripper,Cable Gripper,"Cable Gripper for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-fittings,,,,brass|stainless steel|zinc alloy,,,,,,,,,Available on request,Please confirm packaging requirements with our team,architectural|industrial-assemblies,thread type|gripper body style|cable diameter compatibility|finish,,,,,/images/placeholders/wire-rope-placeholder.svg,,,true,published,Cable Gripper | Custom Cable Assembly | Gaoshuo,"Source configurable cable gripper from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,cable gripper,cable gripper,adjustable hanging fitting|matched cable review|thread selection|kit sourcing support
GS-DRAFT-7X7-SS,7x7-stainless-steel-wire-rope,7x7 Stainless Steel Wire Rope,Draft product structure for future verified specifications.,wire-rope-assemblies,7x7,,,stainless steel,,,,,,,,,,,marine|architectural|control-cables,cutting|custom length,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,draft,7x7 Stainless Steel Wire Rope,Steel wire rope draft page pending verified specifications.,unverified,false,,,Initial demo draft; not migrated from approved source.,wire rope,,
