source_url,mobile_source_url,source_title,source_category,source_product_name,page_status,parameter_section_found,drawing_found,datasheet_found,last_checked_at,notes
https://www.wireropeassy.com/suspension-hanging-kit/stainless-steel-wire-rope-led-panel-light.html,,Stainless Steel Wire Rope LED Panel Light,suspension-hanging-kits,Stainless Steel Wire Rope LED Panel Light,success,yes,no,no,2026-07-18,Secondary LED-panel product page; no additional conflict-free numeric fields used.
https://www.wireropeassy.com/suspension-hanging-kit/stainless-steel-clothesline-wire.html,,Stainless Steel Clothesline Wire,suspension-hanging-kits,Stainless Steel Clothesline Wire,success,yes,no,no,2026-07-18,Different product identity; not used.
https://m.wireropeassy.com/wire-rope-assembly/steel-wire-rope/supply-pvc-coated-galvanized-customized.html,,Wire Suspended Hanging Kit,suspension-hanging-kits,Wire Suspended Hanging Kit,success,yes,no,no,2026-07-18,Mobile product page for gallery and suspended display use.
https://www.wireropeassy.com/brake-cable/,,Brake Cable,category,,success,yes,no,no,2026-07-18,Category/company capability values are not applied to SKUs.
https://www.wireropeassy.com/brake-cable/black-bowden-cable-with-inner-cable.html,,Push-Pull Bowden Cables With Inner Wire,control-brake-cables,Push-Pull Bowden Cables With Inner Wire,success,yes,no,no,2026-07-18,"Direct Bowden/push-pull page; diameter, construction, casing and length statements conflict or are ambiguous."
https://www.wireropeassy.com/control-cable/,,Control Cable,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/control-cable/wire-rope-assemblies-brake-custom-cable.html,,Automobile Bowden Trailer Brake Cable,control-brake-cables,Automobile Bowden Trailer Brake Cable,failed,unknown,no,no,2026-07-18,Candidate seen in category text; detail page could not be read reliably.
https://www.wireropeassy.com/control-cable/universal-galvanized-flexible-outer-control.html,,Universal Galvanized Flexible Outer Control Cable,control-brake-cables,Universal Galvanized Flexible Outer Control Cable,failed,unknown,no,no,2026-07-18,Candidate page discovered; detail page could not be read reliably.
https://www.wireropeassy.com/control-cable/factory-direct-oem-scooter-bike-motorcycle.html,,Scooter Bike Motorcycle Accelerator Control Cable,control-brake-cables,Scooter Bike Motorcycle Accelerator Control Cable,success,yes,no,no,2026-07-18,Product page for accelerator/throttle control cable.
https://www.wireropeassy.com/control-cable/m8-oil-control-cable-to-install-on-motorcycle.html,,M8 Oil Control Cable For Motorcycle,control-brake-cables,M8 Oil Control Cable For Motorcycle,failed,unknown,no,no,2026-07-18,Candidate page discovered; detail page could not be read reliably.
https://www.wireropeassy.com/brake-cable/a1sc30b-mitsubishi-servo-control-cable.html,,Mini Bike Push Pull Cable,control-brake-cables,Mini Bike Push Pull Cable,success,no,no,no,2026-07-18,Page content was not suitable as direct technical evidence.
https://www.wireropeassy.com/gym-fitness-cable/,,Gym Fitness Cable,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,,Fitness Gym Cable Wire Rope Assembly,gym-fitness-cables,Fitness Gym Cable Wire Rope Assembly,success,yes,no,no,2026-07-18,"Product page with multiple end configurations, material options, MOQ and lead time."
https://www.wireropeassy.com/gym-fitness-cable/dongguan-gym-equipment-fitness-cable.html,,Gym Fitness Cable For Equipment,gym-fitness-cables,Gym Fitness Cable For Equipment,success,yes,no,no,2026-07-18,Diameter and construction statements conflict; conflicting values are not used.
https://www.wireropeassy.com/wire-rope-sling/stainless-fall-prevention-wire-rope-sling.html,,Black Vinyl Coated Nylon Pulley Gym Cable Assembly,gym-fitness-cables,Black Vinyl Coated Nylon Pulley Gym Cable Assembly,success,yes,no,no,2026-07-18,Gym cable page; coating descriptions conflict and coating remains TBD.
https://www.wireropeassy.com/gym-fitness-cable/transparent-pvc-coated-flexible-cable-for-gym.html,,Transparent PVC Coated Flexible Cable For Gym,gym-fitness-cables,Transparent PVC Coated Flexible Cable For Gym,failed,unknown,no,no,2026-07-18,Candidate page discovered; detail page could not be read reliably.
https://www.wireropeassy.com/gym-fitness-cable/gym-parts-replacement-gym-cable-wire-rope.html,,Gym Parts Replacement Gym Cable Wire Rope,gym-fitness-cables,Gym Parts Replacement Gym Cable Wire Rope,failed,unknown,no,no,2026-07-18,Candidate page discovered; detail page could not be read reliably.
https://www.wireropeassy.com/hardware-fittings/,,Hardware Fittings,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/hardware-fittings/din-3091-wire-rope-thimble.html,,DIN 3091 Wire Rope Thimble,wire-rope-fittings,DIN 3091 Wire Rope Thimble,success,yes,no,no,2026-07-18,"Direct thimble page; material, finish and lead-time statements conflict."
https://www.wireropeassy.com/showroom/wire-rope-aluminium-sleeve/,,Wire Rope Aluminium Sleeve Showroom,wire-rope-fittings,Wire Rope Aluminium Sleeve,success,no,no,no,2026-07-18,"Showroom/category page only; candidate, not accepted evidence."
https://www.wireropeassy.com/suspension-hanging-kit/aircraft-cable-gripper-fitting.html,,Aircraft Cable Gripper Fitting,wire-rope-fittings,Aircraft Cable Gripper Fitting,success,yes,no,no,2026-07-18,Direct cable gripper product page.
https://www.wireropeassy.com/hardware-fittings/cable-gripper/,,Cable Gripper,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/hardware-fittings/carabiner/,,Carabiner,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/hardware-fittings/carabiner/316-stainless-steel-carabiners.html,,316 Stainless Steel Carabiners,wire-rope-fittings,316 Stainless Steel Carabiners,success,yes,no,no,2026-07-18,Carabiner fitting page; not a direct match for current fitting SKUs.
https://www.wireropeassy.com/showroom/safety-swivel-attaching-carabiner/,,Safety Swivel Attaching Carabiner Showroom,wire-rope-fittings,Clamp Steel Cable Gripper,success,yes,no,no,2026-07-18,Showroom candidate only.
https://www.wireropeassy.com/showroom/quick-connector-link/,,Quick Connector Link Showroom,wire-rope-fittings,Cable Gripper and Sleeve Listings,success,no,no,no,2026-07-18,Showroom candidate only.
https://www.wireropeassy.com/showroom/top-quality-wire-rope-sling/,,Top Quality Wire Rope Sling Showroom,wire-rope-fittings,Wire Rope Sling End Fittings,success,no,no,no,2026-07-18,No direct swage-terminal product evidence found.
